metcode2,share_evac,kat_affected,num_obs,share_evac_sd,obs,distance,lr_w_wage_5,hourwage_5,unem_5,lr_w_wage_1,hourwage_1,unem_1,t_stat_bigger_1,treat,t_stat_bigger_2,treat_expanded,control
652,0,0,214,0,214,24.518826,6.110929,91.389908,.02440658,6.0901604,91.065536,.02303081,,0,,0,1
656,0,0,101,0,101,16.748331,6.1605916,91.658989,.039969187,6.3416476,87.77578,.045265451,,0,,0,1
658,,,,,,8.5773058,6.3346519,94.362495,.043593794,6.3174911,94.646904,.062697858,,,,,
660,,,,,,12.980346,6.3378291,91.794807,.05855459,6.3757648,95.662285,.023649933,,,,,
664,0,0,366,0,366,12.892212,6.3425817,94.181168,.031597778,6.3125367,95.398697,.034013547,,0,,0,1
666,,,,,,19.284,,,,,,,,,,,
668,0,0,109,0,109,17.524353,6.284842,91.847076,.041609768,6.3430901,89.17112,.020640299,,0,,0,1
669,,,,,,33.880585,,,,,,,,,,,
672,0,0,260,0,260,31.584187,6.4046855,92.852119,.03139944,6.2791853,91.139397,.020314511,,0,,0,1
674,,,,,,33.611622,,,,,,,,,,,
676,0,0,352,0,352,14.58482,6.3352041,93.074547,.045399092,6.315846,92.011536,.047907107,,0,,0,1
678,.0019252808,0,1033,.043856997,1033,26.591333,6.3048306,91.850136,.034869157,6.2299891,89.603371,.0344695,-2.253288,0,.67808604,0,0
680,,,,,,12.430194,6.1878839,93.049454,.041346237,6.1540699,98.05484,.034189764,,,,,
684,0,0,258,0,258,18.03702,6.3167844,90.48616,.056607977,6.2967553,86.581306,.064083047,,0,,0,1
688,,,,,,12.45974,6.2322884,88.090874,.063852966,6.13345,84.808174,0,,,,,
689,,,,,,13.566943,,,,,,,,,,,
692,0,0,519,0,519,,6.372961,91.668167,.041892182,6.4036789,93.003387,.041856833,,0,,0,1
696,,,,,,14.850279,6.2804708,91.712067,.048260342,6.2114129,91.376579,.10508781,,,,,
698,,,,,,16.320644,6.2994928,91.791611,0,6.2994928,91.791611,0,,,,,
704,0,0,819,0,819,8.8395777,6.3514671,90.43853,.037074376,6.339684,89.73764,.043055631,,0,,0,1
708,0,0,148,0,148,36.207977,6.1499801,90.573135,.050544359,6.1917038,94.215309,.08178743,,0,,0,1
712,,,,,,31.921209,6.1268988,95.164597,.092041522,6.1562624,95.057083,.081917234,,,,,
716,0,0,809,0,809,25.609238,6.2541656,92.425522,.033900317,6.2728648,93.620979,.027217466,,0,,0,1
720,,,,,,10.823599,,,,,,,,,,,
724,0,0,448,0,448,8.6674671,6.1808481,94.323959,.033901475,6.1709976,93.651596,.051936738,,0,,0,1
732,0,0,788,0,788,26.969753,6.4150596,92.443443,.01901472,6.4387445,93.040161,.021867365,,0,,0,1
736,.0012566989,0,1320,.035441093,1320,,6.517345,93.255028,.036490627,6.4551482,91.899696,.032595705,-3.8373783,0,.26315024,0,0
740,.0073116305,0,553,.085272029,553,32.200005,6.6493173,92.827484,.054041281,6.6093822,90.158379,.045720488,.63749146,0,1.7405943,1,0
744,,,,,,26.523689,,,,,,,,,,,
746,,,,,,30.945898,6.2541614,95.684753,.017516283,6.6190586,86.829529,0,,,,,
747,0,0,102,0,102,,6.3331718,97.013161,.052978884,6.2005095,91.959122,.076095499,,0,,0,1
748,,,,,,32.84206,6.2865295,91.394012,.021815509,6.2865295,91.394012,.021815509,,,,,
749,,,,,,16.979256,6.3653779,97.124825,.028907118,6.4876676,96.516205,.01483806,,,,,
750,0,0,113,0,113,34.049728,6.4282537,94.083725,.034688365,6.3801155,97.557762,.026888167,,0,,0,1
751,0,0,132,0,132,,6.2420321,94.364738,.031718474,6.3073368,90.304581,.0069118962,,0,,0,1
752,0,0,140,0,140,8.9279509,6.2689404,91.122116,.062804542,6.2689404,91.122116,.062804542,,0,,0,1
756,0,0,116,0,116,18.1068,6.1011128,90.235634,.036483996,6.1580901,88.775528,.026146434,,0,,0,1
760,0,0,939,0,939,,6.4360566,92.076675,.038834009,6.4401827,92.154152,.030761935,,0,,0,1
761,,,,,,14.71155,,,,,,,,,,,
762,,,,,,13.960588,,,,,,,,,,,
764,,,,,,7.6907358,,,,,,,,,,,
776,0,0,383,0,383,,6.2174897,89.498131,.025861088,6.2192674,87.585625,.018700136,,0,,0,1
784,0,0,135,0,135,33.129623,6.2707305,89.1791,.028032597,6.2227039,78.7658,.020377785,,0,,0,1
788,,,,,,9.9277916,6.2747178,94.537086,.024433989,5.9279976,91.32032,.011535762,,,,,
792,0,0,102,0,102,8.1262236,6.1964579,90.484436,.021912813,6.2282557,92.213707,.015842536,,0,,0,1
800,0,0,170,0,170,21.242579,6.2520332,90.905701,.054486208,6.3262138,88.864662,.019521,,0,,0,1
805,,,,,,16.38311,,,,,,,,,,,
808,,,,,,13.976701,,,,,,,,,,,
812,0,0,134,0,134,32.336094,6.2374105,92.841187,.056600641,6.2475438,89.900375,.055534247,,0,,0,1
814,,,,,,10.372497,,,,,,,,,,,
816,0,0,159,0,159,19.213482,6.2584772,92.698822,.028640701,6.2689638,97.12899,.024890918,,0,,0,1
828,.0007612324,0,766,.027597958,766,7.7386494,6.2971325,92.700134,.033774644,6.3270969,93.548576,.025570093,-4.2508621,0,-.23944889,0,0
832,,,,,,9.838397,,,,,,,,,,,
836,,,,,,5.5623965,,,,,,,,,,,
840,0,0,158,0,158,13.13179,6.3518825,91.751961,.046316788,6.4502831,91.139175,.063118726,,0,,0,1
844,0,0,126,0,126,,6.2039204,91.014526,.035398003,6.2074471,85.418266,.039512414,,0,,0,1
848,,,,,,18.443665,6.4297061,94.395599,.033192672,6.394906,94.625381,.042786814,,,,,
