metcode2,share_evac,kat_affected,num_obs,share_evac_sd,obs,distance,lr_w_wage_5,hourwage_5,unem_5,lr_w_wage_1,hourwage_1,unem_1,t_stat_bigger_1,treat,t_stat_bigger_2,treat_expanded,control
768,,,,,,,6.2635484,91.218887,.046581939,6.3853259,95.230774,.016937384,,,,,
780,,,,,,,6.1630998,89.678764,.04902545,6.1297283,88.273598,.080158882,,,,,
804,,,,,,,6.621634,93.485298,.024027124,,,,,,,,
820,,,,,,,6.3941398,89.116501,.051974159,,,,,,,,
824,,,,,,,6.1675858,93.663506,.026006395,6.3478775,91.396767,.015136516,,,,,
870,,,,,,,6.0392971,90.743446,.054405764,6.0392971,90.743446,.054405764,,,,,
874,,,,,,,6.4477997,94.80912,.014192451,6.4477997,94.80912,.014192451,,,,,
896,,,,,,,6.2791495,93.914932,.03438098,,,,,,,,
916,,,,,,,6.4391141,92.860664,.032195155,,,,,,,,
920,,,,,,,6.2888527,89.562126,.068118811,6.5027962,99.989998,0,,,,,
