InputID,TargetID,Distance,fipscounty,msa,msaname,cbsaname
16100,310M300US35380,14.5841366374,,,,
47660,310M300US35380,9.64448193818,,,,
12580,310M300US35380,16.3607963196,24510,720,"BALTIMORE, MD","Baltimore-Towson, MD"
17500,310M300US35380,9.40017072137,,,,
40060,310M300US35380,14.5848193302,51760,6760,"RICHMOND-PETERSBURG, VA","Richmond, VA"
25700,310M300US35380,12.9987714247,,,,
22700,310M300US35380,13.2195172282,,,,
32300,310M300US35380,12.1420699172,,,,
25740,310M300US35380,28.0237182512,,,,
49380,310M300US35380,14.9432987041,,,,
40900,310M300US35380,32.2931813144,6113,9270,"YOLO, CA","Sacramento--Arden-Arcade--Roseville, CA"
42200,310M300US35380,30.4428171748,,,,
32820,310M300US35380,5.10467522161,47167,4920,"MEMPHIS, TN-AR-MS","Memphis, TN-MS-AR"
28020,310M300US35380,13.0272352437,26159,3720,"KALAMAZOO-BATTLE CREEK, MI","Kalamazoo-Portage, MI"
20820,310M300US35380,9.25473667731,,,,
27900,310M300US35380,8.39303561489,29145,3710,"JOPLIN, MO","Joplin, MO"
18420,310M300US35380,5.16058930116,,,,
19500,310M300US35380,10.0038935795,17115,2040,"DECATUR, IL","Decatur, IL"
25580,310M300US35380,13.6359209945,,,,
48820,310M300US35380,16.0647431179,,,,
15020,310M300US35380,1.70455026457,,,,
13340,310M300US35380,12.1708267464,,,,
28260,310M300US35380,14.1351592769,,,,
18820,310M300US35380,10.5857793479,,,,
41860,310M300US35380,33.1679632707,,,,
27260,310M300US35380,8.16219799777,12109,3600,"JACKSONVILLE, FL","Jacksonville, FL"
36840,310M300US35380,10.172901131,,,,
15340,310M300US35380,13.0077178595,,,,
15740,310M300US35380,13.2072026016,,,,
19940,310M300US35380,11.8591573948,,,,
19860,310M300US35380,21.1491538799,,,,
37900,310M300US35380,10.8929219618,17203,6120,"PEORIA-PEKIN, IL","Peoria, IL"
49300,310M300US35380,13.5759678316,,,,
39820,310M300US35380,33.8805862822,6089,6690,"REDDING, CA","Redding, CA"
35220,310M300US35380,11.0109375575,,,,
16300,310M300US35380,12.3024748866,19113,1360,"CEDAR RAPIDS, IA","Cedar Rapids, IA"
46980,310M300US35380,2.46299211951,,,,
30820,310M300US35380,16.7296739118,,,,
39740,310M300US35380,17.5243527125,42011,6680,"READING, PA","Reading, PA"
33500,310M300US35380,21.5838278555,,,,
47940,310M300US35380,12.8809995899,19075,16,IOWA,"Waterloo-Cedar Falls, IA"
11580,310M300US35380,8.58003045357,,,,
41500,310M300US35380,31.9212089502,6053,7120,"SALINAS, CA","Salinas, CA"
25300,310M300US35380,9.89000347757,,,,
13620,310M300US35380,23.708923436,,,,
44220,310M300US35380,11.7573667114,39023,2000,"DAYTON-SPRINGFIELD, OH","Springfield, OH"
33260,310M300US35380,12.2398681161,48329,5800,"ODESSA-MIDLAND, TX","Midland, TX"
24860,310M300US35380,8.9224830876,45077,3160,"GREENVILLE-SPARTANBURG-ANDERSON, SC","Greenville, SC"
24460,310M300US35380,12.2925195258,,,,
40140,310M300US35380,26.5913327983,6071,6780,"RIVERSIDE-SAN BERNADINO, CA","Riverside-San Bernardino-Ontario, CA"
35740,310M300US35380,14.2911123206,,,,
32460,310M300US35380,6.94042489946,,,,
19300,310M300US35380,2.37236805263,,,,
20740,310M300US35380,15.0933934028,55035,2290,"EAU CLAIRE, WI","Eau Claire, WI"
32740,310M300US35380,15.3503039472,,,,
30220,310M300US35380,12.9366593425,,,,
35620,310M300US35380,19.3131327908,,,,
26780,310M300US35380,15.5330629847,,,,
37980,310M300US35380,17.7331349278,,,,
26420,310M300US35380,5.45308462229,48473,3360,"HOUSTON, TX","Houston-Baytown-Sugar Land, TX"
27060,310M300US35380,18.4114583904,36109,33,NEW YORK,"Ithaca, NY"
42380,310M300US35380,17.9345568018,,,,
15940,310M300US35380,13.875447207,39151,1320,"CANTON-MASSILLON, OH","Canton-Massillon, OH"
31380,310M300US35380,10.5771572123,,,,
14620,310M300US35380,16.4666996194,,,,
42900,310M300US35380,18.3856367848,,,,
21860,310M300US35380,14.5185570517,,,,
10820,310M300US35380,16.9483682677,,,,
34380,310M300US35380,14.6524308531,,,,
21260,310M300US35380,35.2272551533,,,,
28820,310M300US35380,13.4128795725,,,,
26700,310M300US35380,16.7310150216,,,,
47980,310M300US35380,16.7220739748,,,,
37740,310M300US35380,21.2244969203,,,,
37120,310M300US35380,4.59765332773,,,,
